iter	Passed	Remaining
0	146	146429
1	149	74459
2	151	50378
3	154	38359
4	156	31150
5	159	26349
6	161	22871
7	163	20259
8	165	18270
9	168	16671
10	170	15323
11	172	14221
12	174	13273
13	177	12466
14	179	11758
15	181	11157
16	183	10611
17	185	10140
18	188	9731
19	190	9338
20	192	8975
21	194	8656
22	197	8386
23	199	8110
24	201	7846
25	203	7604
26	204	7380
27	206	7170
28	208	6990
29	211	6829
30	213	6661
31	214	6500
32	216	6353
33	218	6213
34	220	6081
35	222	5959
36	224	5854
37	227	5747
38	228	5639
39	230	5536
40	232	5437
41	234	5346
42	236	5262
43	238	5191
44	240	5112
45	242	5033
46	244	4957
47	246	4884
48	248	4821
49	250	4756
50	252	4697
51	254	4640
52	256	4580
53	258	4522
54	260	4468
55	261	4415
56	264	4368
57	266	4322
58	268	4279
59	270	4235
60	272	4196
61	274	4155
62	276	4111
63	278	4068
64	280	4030
65	282	3997
66	284	3961
67	286	3924
68	288	3887
69	289	3850
70	291	3816
71	293	3781
72	295	3752
73	297	3723
74	299	3694
75	301	3664
76	303	3634
77	305	3606
78	307	3579
79	309	3554
80	311	3529
81	313	3508
82	314	3473
83	316	3448
84	318	3423
85	319	3398
86	321	3374
87	323	3353
88	325	3336
89	327	3315
90	330	3296
91	332	3279
92	334	3261
93	336	3242
94	338	3221
95	340	3204
96	342	3186
97	344	3171
98	346	3153
99	348	3135
100	350	3117
101	351	3098
102	354	3083
103	356	3069
104	358	3055
105	360	3041
106	363	3030
107	365	3016
108	367	3003
109	370	2994
110	372	2986
111	374	2971
112	377	2961
113	379	2948
114	381	2933
115	383	2923
116	385	2909
117	387	2897
118	389	2883
119	391	2869
120	393	2856
121	394	2840
122	396	2827
123	398	2818
124	401	2810
125	403	2800
126	405	2787
127	407	2774
128	409	2763
129	411	2752
130	413	2744
131	416	2737
132	418	2726
133	419	2713
134	421	2701
135	423	2689
136	425	2680
137	427	2671
138	429	2661
139	431	2652
140	433	2641
141	434	2627
